Name	HP
Blissey	255
Chansey	250
Wobbuffet	190
Wailord	170
Alomomola	165
Snorlax	160
Drifblim	150
Slaking	150
GiratinaAltered Forme	150
GiratinaOrigin Forme	150
Hariyama	144
Wigglytuff	140
Munchlax	135
Wailmer	130
Vaporeon	130
Lapras	130
Xerneas	126
Yveltal	126
Lanturn	125
Kyurem	125
KyuremBlack Kyurem	125
KyuremWhite Kyurem	125
Gogoat	123
Aurorus	123
Throh	120
Arceus	120
Cresselia	120
Musharna	116
Rhyperior	115
Jigglypuff	115
Entei	115
Amoonguss	114
Gastrodon	111
Whiscash	110
Mandibuzz	110
Regigigas	110
Mamoswine	110
Emboar	110
Lickilicky	110
Excadrill	110
Reuniclus	110
Walrein	110
Stunfisk	109
GarchompMega Garchomp	108
Garchomp	108
Zygarde50% Forme	108
Hippowdon	108
Ho-oh	106
Lugia	106
MewtwoMega Mewtwo X	106
MewtwoMega Mewtwo Y	106
Mewtwo	106
DarmanitanStandard Mode	105
Seismitoad	105
KangaskhanMega Kangaskhan	105
Kangaskhan	105
Muk	105
RayquazaMega Rayquaza	105
Rhydon	105
DarmanitanZen Mode	105
Conkeldurr	105
Rayquaza	105
Exploud	104
Audino	103
AudinoMega Audino	103
Skuntank	103
Aromatisse	101
Piloswine	100
Mew	100
Tyranitar	100
Dialga	100
Suicune	100
Swalot	100
Tangrowth	100
KyogrePrimal Kyogre	100
TyranitarMega Tyranitar	100
Relicanth	100
Groudon	100
Noctowl	100
SwampertMega Swampert	100
Honchkrow	100
Azumarill	100
Celebi	100
Kyogre	100
Jirachi	100
Swampert	100
GroudonPrimal Groudon	100
Manaphy	100
Happiny	100
Dunsparce	100
Zekrom	100
Victini	100
ShayminLand Forme	100
MeloettaPirouette Forme	100
MeloettaAria Forme	100
Braviary	100
Reshiram	100
ShayminSky Forme	100
Jellicent	100
Tropius	99
Rampardos	97
Milotic	95
Krookodile	95
SalamenceMega Salamence	95
Wynaut	95
Beartic	95
Salamence	95
Torterra	95
Pangoro	95
Bouffalant	95
Exeggutor	95
Samurott	95
Avalugg	95
Miltank	95
Quagsire	95
Umbreon	95
Gyarados	95
Slowking	95
GyaradosMega Gyarados	95
Clefable	95
Slowbro	95
SlowbroMega Slowbro	95
Sylveon	95
Hydreigon	92
Dragonite	91
Cobalion	91
Terrakion	91
KeldeoResolute Forme	91
